# https://finance.yahoo.com/quote/BTC-USD/history/,,,,
Open,High,Low,Volume,Close
26047.23438,26107.38477,25983.87891,6034817316,26008.46289
26008.24219,26165.37305,25965.09766,6913768611,26089.69336
26089.61523,26198.57813,25880.59961,11002805166,26106.15039
26102.48633,28089.33789,25912.62891,29368391712,27727.39258
27726.08398,27760.16016,27069.20703,16343655235,27297.26563
27301.92969,27456.07813,25752.92969,20181001451,25931.47266
25934.02148,26125.86914,25362.60938,17202862221,25800.72461
25800.91016,25970.28516,25753.09375,10100387473,25868.79883
25869.47266,26087.14844,25817.03125,8962524523,25969.56641
25968.16992,26081.52539,25657.02539,10680635106,25812.41602
25814.95703,25858.375,25589.98828,11094740040,25779.98242
25783.93164,25953.01563,25404.35938,12752705327,25753.23633
25748.3125,26409.30273,25608.20117,11088307100,26240.19531
26245.20898,26414.00586,25677.48047,10817356400,25905.6543
25905.42578,25921.97656,25810.49414,5481314132,25895.67773
25895.21094,25978.13086,25640.26172,7899553047,25832.22656
25831.71484,25883.94727,24930.29688,14600006467,25162.6543
25160.6582,26451.93945,25133.07813,18657279324,25833.34375
25837.55469,26376.11328,25781.12305,13072077070,26228.32422
26228.27734,26774.62305,26171.45117,13811359124,26539.67383
26533.81836,26840.49805,26240.70117,11479735788,26608.69336
26606.19922,26754.76953,26473.89063,7402031417,26568.28125
26567.92773,26617.99805,26445.07422,6774210670,26534.1875
26532.99414,27414.73438,26415.51563,15615339655,26754.28125
26760.85156,27488.76367,26681.60547,13807690550,27211.11719
27210.22852,27379.50586,26864.08203,13281116604,27132.00781
27129.83984,27152.93945,26389.30078,13371443708,26567.63281
26564.05664,26726.07813,26495.5332,10578746709,26579.56836
26578.55664,26634.18555,26520.51953,7404700301,26579.39063
26579.37305,26716.05859,26221.05078,8192867686,26256.82617
26253.77539,26421.50781,26011.46875,11997833257,26298.48047
26294.75781,26389.88477,26090.71289,9985498161,26217.25
26209.49805,26817.8418,26111.46484,11718380997,26352.7168
26355.8125,27259.5,26327.32227,14079002707,27021.54688
27024.8418,27225.9375,26721.76367,10396435377,26911.7207
26911.68945,27091.79492,26888.96875,5331172801,26967.91602
26967.39648,28047.23828,26965.09375,9503917434,27983.75
27976.79883,28494.45898,27347.78711,19793041322,27530.78516
27508.25195,27667.19141,27216.00195,11407814187,27429.97852
27429.07422,27826.6582,27248.10547,11143355314,27799.39453
27798.64648,28091.86133,27375.60156,11877253670,27415.91211
27412.12305,28252.53711,27215.55273,13492391599,27946.59766
27946.78125,28028.0918,27870.42383,6553044316,27968.83984
27971.67773,28102.16992,27740.66211,7916875290,27935.08984
27934.47266,27989.4707,27302.5625,12007668568,27583.67773
27589.20117,27715.84766,27301.6543,9973350678,27391.01953
27392.07617,27474.11523,26561.09961,13648094333,26873.32031
26873.29297,26921.43945,26558.32031,9392909295,26756.79883
26752.87891,27092.69727,26686.32227,15165312851,26862.375
26866.20313,26969,26814.58594,5388116782,26861.70703
26858.01172,27289.16992,26817.89453,7098201980,27159.65234
27162.62891,29448.13867,27130.47266,27833876539,28519.4668
28522.09766,28618.75195,28110.18555,14872527508,28415.74805
28413.53125,28889.00977,28174.25195,12724128586,28328.3418
28332.41602,28892.47461,28177.98828,14448058195,28719.80664
